burden_tier,n_woredas,total_need_al_courses,total_allocated_al_courses,gap_courses,coverage_pct
very high,50,2876318.69,1661604.665,1214714.025,57.8
high,147,4053855.04,2500033.768,1553821.2719999999,61.7
moderate,295,2600421.59,2366137.199,234284.39099999983,91.0
low,492,478803.64,478803.64,0.0,100.0
